Date;Well1
2005-11-11;-1.8075
2005-11-12;-1.83291666666667
2005-11-13;-1.79875
2005-11-14;-1.83583333333333
2005-11-15;-1.87416666666667
2005-11-16;-1.91958333333333
2005-11-17;-1.97041666666667
2005-11-18;-2.02458333333333
2005-11-19;-2.07916666666667
2005-11-20;-2.13458333333333
2005-11-21;-2.18291666666667
2005-11-22;-2.21666666666667
2005-11-23;-2.24791666666667
2005-11-24;-2.28166666666667
2005-11-25;-2.33
2005-11-26;-2.38958333333333
2005-11-27;-2.43708333333333
2005-11-28;-2.48708333333333
2005-11-29;-2.52166666666667
2005-11-30;-2.54875
2005-12-01;-2.60041666666667
2005-12-02;-2.65125
2005-12-03;-2.69166666666667
2005-12-04;-2.73
2005-12-05;-2.78541666666667
2005-12-06;-2.84458333333333
2005-12-07;-2.90125
2005-12-08;-2.95541666666667
2005-12-09;-3.00583333333333
2005-12-10;-3.0425
2005-12-11;-3.0725
2005-12-12;-3.11833333333333
2005-12-13;-3.15458333333333
2005-12-14;-3.2025
2005-12-15;-3.25958333333333
2005-12-16;-3.31333333333333
2005-12-17;-3.36208333333333
2005-12-18;-3.40125
2005-12-19;-3.45375
2005-12-20;-3.5125
2005-12-21;-3.56583333333333
2005-12-22;-3.60833333333333
2005-12-23;-3.66375
2005-12-24;-3.71583333333333
2005-12-25;-3.7675
2005-12-26;-3.82625
2005-12-27;-3.88916666666667
2005-12-28;-3.95166666666667
2005-12-29;-4.01833333333333
2005-12-30;-4.0925
2005-12-31;-4.17291666666667
2006-01-01;-4.25916666666667
2006-01-02;-4.33708333333333
2006-01-03;-4.4175
2006-01-04;-4.51166666666667
2006-01-05;-4.61541666666667
2006-01-06;-4.71708333333333
2006-01-07;-4.835
2006-01-08;-4.965
2006-01-09;-5.07166666666667
2006-01-10;-5.19458333333333
2006-01-11;-5.32666666666667
2006-01-12;-5.44833333333333
2006-01-13;-5.56125
2006-01-14;-5.61
2006-01-15;-5.61
2006-01-16;-5.61
2006-01-17;-5.61
2006-01-18;-5.61
2006-01-19;-5.61
2006-01-20;-5.61
2006-01-21;-5.97166666666667
2006-01-22;-6.45291666666667
2006-01-23;-6.52166666666667
2006-01-24;-6.58583333333333
2006-01-25;-6.64458333333333
2006-01-26;-6.71166666666667
2006-01-27;-6.76791666666667
2006-01-28;-6.81458333333333
2006-01-29;-6.86916666666667
2006-01-30;-6.925
2006-01-31;-6.97708333333333
2006-02-01;-7.02208333333333
2006-02-02;-7.06875
2006-02-03;-7.12
2006-02-04;-7.16458333333333
2006-02-05;-7.20416666666667
2006-02-06;-7.24583333333333
2006-02-07;-7.29291666666667
2006-02-08;-7.33708333333333
2006-02-09;-7.37833333333333
2006-02-10;-7.41291666666667
2006-02-11;-7.44375
2006-02-12;-7.47875
2006-02-13;-7.51625
2006-02-14;-7.55041666666667
2006-02-15;-7.58125
2006-02-16;-7.61833333333333
2006-02-17;-7.6575
2006-02-18;-7.69083333333333
2006-02-19;-7.72166666666667
2006-02-20;-7.75125
2006-02-21;-7.78208333333333
2006-02-22;-7.81416666666667
2006-02-23;-7.84041666666667
2006-02-24;-7.8675
2006-02-25;-7.89416666666667
2006-02-26;-7.91333333333333
2006-02-27;-7.945
2006-02-28;-7.96916666666667
2006-03-01;-7.99125
2006-03-02;-8.015
2006-03-03;-8.04
2006-03-04;-8.06208333333333
2006-03-05;-8.08041666666667
2006-03-06;-8.10166666666667
2006-03-07;-8.11666666666667
2006-03-08;-8.13166666666667
2006-03-09;-8.14166666666667
2006-03-10;-8.15125
2006-03-11;-8.15541666666667
2006-03-12;-8.16125
2006-03-13;-8.17125
2006-03-14;-8.18708333333333
2006-03-15;-8.2
2006-03-16;-8.20375
2006-03-17;-8.21875
2006-03-18;-8.23
2006-03-19;-8.24208333333333
2006-03-20;-8.25875
2006-03-21;-8.27125
2006-03-22;-8.28333333333333
2006-03-23;-8.29791666666667
2006-03-24;-8.31208333333333
2006-03-25;-8.33416666666667
2006-03-26;-8.35222222222222
2006-03-27;-8.36875
2006-03-28;-8.385
2006-03-29;-8.40625
2006-03-30;-8.42916666666667
2006-03-31;-8.44708333333333
2006-04-01;-8.46083333333333
2006-04-02;-8.48
2006-04-03;-8.49875
2006-04-04;-8.51333333333333
2006-04-05;-8.53125
2006-04-06;-8.55125
2006-04-07;-8.56791666666667
2006-04-08;-8.58125
2006-04-09;-8.60041666666667
2006-04-10;-8.61958333333333
2006-04-11;-8.63791666666667
2006-04-12;-8.65166666666667
2006-04-13;-8.66875
2006-04-14;-8.68875
2006-04-15;-8.7075
2006-04-16;-8.72208333333333
2006-04-17;-8.73666666666667
2006-04-18;-8.7475
2006-04-19;-8.75458333333333
2006-04-20;-8.75458333333333
2006-04-21;-8.73833333333333
2006-04-22;-8.72791666666667
2006-04-23;-8.72
2006-04-24;-8.72
2006-04-25;-8.72
2006-04-26;-8.72
2006-04-27;-8.72416666666667
2006-04-28;-8.73166666666667
2006-04-29;-8.7425
2006-04-30;-8.75666666666667
2006-05-01;-8.76833333333333
2006-05-02;-8.78166666666667
2006-05-03;-8.79833333333333
2006-05-04;-8.8125
2006-05-05;-8.83
2006-05-06;-8.84291666666667
2006-05-07;-8.85916666666667
2006-05-08;-8.87833333333333
2006-05-09;-8.8925
2006-05-10;-8.90708333333333
2006-05-11;-8.92083333333333
2006-05-12;-8.9375
2006-05-13;-8.95041666666667
2006-05-14;-8.96666666666667
