Date;P1;P3;P5;P6;P7;P9;P10;P12;P13
2003-11-02;-8.19875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-03;-8.5425;-27.6;-39.83;-37.98;NaN;NaN;NaN;NaN;NaN
2003-11-04;-8.889583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-05;-9.20375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-06;-9.502083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-07;-9.7975;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-08;-10.245833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-09;-10.399583333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-10;-10.48125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-11;-10.54125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-12;-10.579166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-13;-10.63375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-14;-10.71875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-15;-10.795;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-16;-10.886249999999999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-17;-10.965833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-18;-11.015833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-19;-11.105416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-20;-11.14125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-21;-11.184583333333332;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-22;-11.222916666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-23;-11.254583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-24;-11.286249999999999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-25;-11.337083333333334;-27.12;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-26;-11.3675;NaN;-39.85;-37.99;NaN;NaN;NaN;NaN;NaN
2003-11-27;-11.39;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-28;-11.415833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-29;-11.442083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-11-30;-11.467916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-01;-11.4925;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-02;-11.517083333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-03;-11.532499999999999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-04;-11.55625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-05;-11.58125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-06;-11.6025;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-07;-11.619166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-08;-11.640416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-09;-11.662916666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-10;-11.683333333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-11;-11.698333333333332;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-12;-11.713750000000001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-13;-11.734166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-14;-11.747916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-15;-11.7625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-16;-11.779583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-17;-11.795833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-18;-11.813333333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-19;-11.82625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-20;-11.847083333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-21;-11.861666666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-22;-11.871666666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-23;-11.89;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-24;-11.90375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-25;-11.91625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-26;-11.932083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-27;-11.946666666666665;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-28;-11.964583333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-29;-11.985;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
